IMDB-ID,originalTitle,startYear,genres,documentLength
tt0045343,Yankee Buccaneer,1952,Adventure History Romance,9300
tt0045470,Die Geschichte vom kleinen Muck,1953,Family Fantasy,6252
tt0045483,Aida,1953,Musical,3938
tt0045502,Ambush at Tomahawk Gap,1953,Action Romance Western,4558
tt0045546,"The Beast from 20,000 Fathoms",1953,Adventure Horror Sci-Fi,6874
tt0045617,Cet homme est dangereux,1953,Adventure,8192
tt0045699,Donovan's Brain,1953,Horror Sci-Fi,9006
tt0045737,Escape from Fort Bravo,1953,Western,6647
tt0045828,The Golden Blade,1953,Adventure,5854
tt0045846,Gun Fury,1953,Action Adventure Crime,5998
tt0045888,House of Wax,1953,Horror,8155
tt0045917,Invaders from Mars,1953,Horror Sci-Fi,6867
tt0045920,It Came from Outer Space,1953,Horror Sci-Fi,6666
tt0045931,Jennifer,1953,Mystery,4671
tt0045991,Law and Order,1953,Western,8377
tt0045992,The Lawless Breed,1953,Western,9420
tt0046035,The Man from the Alamo,1953,Western,5998
tt0046066,Mesa of Lost Women,1953,Horror Sci-Fi,5403
tt0046080,The Mississippi Gambler,1953,Adventure Romance Western,7170
tt0046183,Peter Pan,1953,Adventure Animation Family,7360
tt0046185,The Phantom Stockman,1953,Action Western,6118
tt0046248,Robot Monster,1953,Sci-Fi,4781
tt0046264,Sadko,1953,Adventure Fantasy,4611
tt0046375,The Stranger Wore a Gun,1953,War Western,6932
tt0046407,Nichiro sensô shôri no hishi: Tekichû ôdan sanbyaku-ri,1957,Action Adventure War,4177
tt0046532,War Arrow,1953,Romance War Western,7642
tt0046534,The War of the Worlds,1953,Action Sci-Fi Thriller,8676
tt0046673,Aar-Paar,1954,Musical Romance Thriller,7037
tt0046719,Apache,1954,Western,4996
tt0046783,The Black Dakotas,1954,Action War Western,7085
tt0046789,The Black Shield of Falworth,1954,Adventure History Romance,8148
tt0046807,Brigadoon,1954,Fantasy Musical Romance,9251
tt0046808,Broken Lance,1954,Adventure Western,10243
tt0046876,Creature from the Black Lagoon,1954,Horror,19929
tt0046916,Divisione Folgore,1955,War,3085
tt0046954,Emil und die Detektive,1954,Adventure Family,6209
tt0047074,Hell's Half Acre,1954,Action Adventure Crime,8469
tt0047149,Killers from Space,1954,Mystery Sci-Fi,5701
tt0047200,The Mad Magician,1954,Horror Mystery Thriller,8120
tt0047209,Man in the Attic,1953,Mystery Thriller,8253
tt0047278,The Night My Number Came Up,1955,Fantasy Mystery Thriller,12733
tt0047400,Red Garters,1954,Musical Western,10014
tt0047411,Ride Clear of Diablo,1954,Western,7359
tt0047488,The Siege at Red River,1954,Western,5040
tt0047507,The Snow Creature,1954,Horror Sci-Fi,4627
tt0047537,The Student Prince,1954,Musical Romance,10864
tt0047563,The Teckman Mystery,1954,Mystery,11180
tt0047573,Them!,1954,Horror Sci-Fi,9188
