params,mean_test_jaccard_sim,rank_test_jaccard_sim,mean_test_f1_micro,rank_test_f1_micro,mean_test_f1_macro,rank_test_f1_macro,mean_test_f1_weighted,rank_test_f1_weighted,mean_test_f1_samples,rank_test_f1_samples,mean_test_hamming_loss,rank_test_hamming_loss,mean_test_accuracy_percentage,rank_test_accuracy_percentage,mean_test_accuracy_number,rank_test_accuracy_number
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.0001}",0.465922027290448,101,0.559615124764152,23,0.441256057565748,39,0.557421645894277,13,0.569844054580897,53,0.108056415548676,459,0.185730994152047,217,158.8,217
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.001}",0.468463937621832,91,0.558219052499807,49,0.437822332701297,53,0.551761410793616,65,0.569672514619883,55,0.105208118335053,521,0.196374269005848,161,167.9,161
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.01}",0.464062378167641,109,0.552970289257885,97,0.431083076818552,125,0.544063314860147,111,0.564393762183236,115,0.105331957344341,493,0.193567251461988,165,165.5,165
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 0.1}",0.412424951267056,225,0.477700705053626,215,0.256636865466564,259,0.406910570739949,229,0.49024171539961,227,0.103529411764706,571,0.208771929824561,81,178.5,81
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1.0}",0.320458089668616,505,0.362830153114088,299,0.042327419481104,421,0.19335204993463,409,0.387582846003899,505,0.115280357757138,173,0.154736842105263,465,132.3,465
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 10.0}",0.320604288499025,293,0.362792020065797,337,0.04206656645529,459,0.192910897145975,447,0.387680311890838,293,0.115252837977296,223,0.155087719298246,253,132.6,253
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 100.0}",0.320604288499025,293,0.362792020065797,337,0.04206656645529,459,0.192910897145975,447,0.387680311890838,293,0.115252837977296,223,0.155087719298246,253,132.6,253
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1000.0}",0.320604288499025,293,0.362792020065797,337,0.04206656645529,459,0.192910897145975,447,0.387680311890838,293,0.115252837977296,223,0.155087719298246,253,132.6,253
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1e-09}",0.207247563352827,643,0.31085808840047,641,0.27060538790241,255,0.340005351805668,307,0.300077972709552,643,0.197681458548332,27,0.006081871345029,667,5.2,667
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1e-08}",0.355384015594542,289,0.470457914115947,267,0.393722434681527,199,0.491548857531049,217,0.464495126705653,287,0.142222222222222,135,0.083040935672515,539,71,539
